City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
267,Berlevag,NO,70.8578,29.0864,48.7,73,100,13.38,overcast clouds
268,Sur,OM,22.5667,59.5289,99.01,38,0,9.69,clear sky
269,Zhezkazgan,KZ,47.8043,67.7144,76.51,31,83,8.19,broken clouds
270,Vzmorye,RU,54.6961,20.2361,69.89,62,0,9.95,clear sky
271,Antofagasta,CL,-23.65,-70.4,55.4,71,40,8.05,scattered clouds
272,Port Hedland,AU,-20.3167,118.5667,62.65,48,75,8.05,broken clouds
273,Ballina,AU,-28.8667,153.5667,53.94,84,40,1.14,scattered clouds
274,Chinsali,ZM,-10.5414,32.0816,78.15,27,2,7.47,clear sky
275,Lae,PG,-6.7221,146.9847,77.16,84,28,1.39,scattered clouds
276,Lavrentiya,RU,65.5833,-171.0,42.48,86,100,8.21,overcast clouds
277,Coquimbo,CL,-29.9533,-71.3436,53.33,100,90,6.91,overcast clouds
278,Surman,LY,32.7567,12.5716,96.21,26,0,18.03,clear sky
279,Raga,SS,8.4596,25.678,98.17,27,37,5.77,scattered clouds
280,Arman,RU,59.7,150.1667,54.54,90,79,3.24,light rain
281,Metro,ID,-5.1131,105.3067,76.98,88,59,5.01,broken clouds
282,Axim,GH,4.8699,-2.2405,80.92,74,100,8.39,overcast clouds
283,Palauig,PH,15.435,119.9045,82.06,78,98,1.05,overcast clouds
284,Husavik,IS,66.0449,-17.3389,66.11,50,1,6.6,clear sky
285,Alofi,NU,-19.0595,-169.9187,73.4,68,99,19.57,overcast clouds
286,Adrar,MR,20.5022,-10.0711,104.09,8,87,10.92,overcast clouds
287,Mizdah,LY,31.4451,12.9801,105.31,7,8,8.79,clear sky
288,Kavieng,PG,-2.5744,150.7967,81.73,75,71,8.75,broken clouds
289,Kiama,AU,-34.6833,150.8667,55.38,67,0,8.99,clear sky
290,Naryan-Mar,RU,67.6713,53.087,70.29,29,7,4.16,clear sky
291,Primorka,RU,47.2836,39.0625,92.16,66,100,9.57,overcast clouds
292,Valera,VE,9.3178,-70.6036,74.64,83,88,0.18,overcast clouds
293,Broken Hill,AU,-31.95,141.4333,42.51,87,0,4.61,clear sky
294,Innisfail,AU,-17.5333,146.0333,70.93,84,100,8.93,overcast clouds
295,Pincher Creek,CA,49.4833,-113.952,62.96,89,75,11.5,broken clouds
296,Kruisfontein,ZA,-34.0033,24.7314,64.89,59,0,26.75,clear sky
297,Worthington,US,40.0931,-83.018,77.0,73,1,12.66,clear sky
298,Padang,ID,-0.9492,100.3543,82.45,88,100,4.88,overcast clouds
299,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,89,69,15.88,broken clouds
300,Mahibadhoo,MV,3.7833,72.9667,83.19,73,99,11.52,overcast clouds
301,Lazaro Cardenas,MX,17.9583,-102.2,75.15,80,100,7.56,overcast clouds
302,Uruzgan,AF,32.8333,66.0,87.6,5,0,13.27,clear sky
303,Mazamari,PE,-11.3258,-74.5308,72.77,70,43,0.56,scattered clouds
304,Santa Fe,AR,-31.6333,-60.7,53.01,91,100,11.99,overcast clouds
305,Korla,CN,41.7597,86.1469,88.32,17,100,11.25,overcast clouds
306,Montrose,US,38.4166,-108.2673,41.34,76,79,2.19,broken clouds
307,Sambava,MG,-14.2667,50.1667,75.65,73,1,11.7,clear sky
308,Vysokogornyy,RU,50.1167,139.15,54.45,99,100,3.24,overcast clouds
309,San Remo,IT,43.8182,7.7612,82.72,74,34,8.01,scattered clouds
310,Pangnirtung,CA,66.1451,-65.7125,50.0,57,75,17.27,broken clouds
311,Nome,US,64.5011,-165.4064,51.87,87,90,8.05,overcast clouds
312,Tam Ky,VN,15.5667,108.4833,82.38,81,38,1.88,scattered clouds
313,Castle Rock,US,39.3722,-104.8561,57.58,95,100,3.0,overcast clouds
314,Raudeberg,NO,61.9875,5.1352,59.0,77,75,14.97,broken clouds
315,Songea,TZ,-10.6833,35.65,75.99,31,0,5.46,clear sky
316,Urdoma,RU,61.7533,48.5442,83.21,33,15,5.3,few clouds
317,Sulangan,PH,11.1373,123.7228,85.39,69,100,4.32,light rain
318,Ferrol,ES,43.4832,-8.2369,64.4,82,20,8.05,few clouds
319,Makaleng,BW,-20.9,27.2833,79.29,16,0,6.58,clear sky
320,Touros,BR,-5.1989,-35.4608,81.5,52,93,17.6,overcast clouds
321,Zhoucheng,CN,35.9122,116.3117,86.05,41,100,9.1,overcast clouds
322,Seoul,KR,37.5683,126.9778,74.71,76,0,5.75,clear sky
323,Cody,US,44.5263,-109.0565,57.63,75,20,3.44,few clouds
324,Lakota,CI,5.8528,-5.6883,85.15,58,100,1.97,overcast clouds
325,Lompoc,US,34.6391,-120.4579,61.79,82,90,4.61,mist
326,Talara,PE,-4.5772,-81.2719,66.97,78,5,14.72,clear sky
327,Akureyri,IS,65.6835,-18.0878,66.13,32,0,25.32,clear sky
328,Polis,CY,35.0367,32.4264,92.28,43,0,9.1,clear sky
329,Xuddur,SO,4.1213,43.8894,88.63,31,82,19.37,broken clouds
330,Lage,DE,51.9922,8.793,78.35,62,100,1.99,overcast clouds
331,Dehloran,IR,32.6941,47.2679,114.21,4,0,6.87,clear sky
332,Marystown,CA,47.1666,-55.1483,60.89,65,100,11.16,overcast clouds
333,Ak-Dovurak,RU,51.1833,90.6,55.99,80,100,3.69,overcast clouds
334,Omsukchan,RU,62.5333,155.8,58.71,55,68,1.86,broken clouds
335,Nicoya,CR,10.1483,-85.452,72.95,87,22,0.27,few clouds
336,Iralaya,HN,15.0,-83.2333,77.0,100,40,5.79,scattered clouds
337,Svetlogorsk,BY,52.6333,29.7333,85.37,50,24,3.76,few clouds
338,Tarko-Sale,RU,64.9225,77.785,59.49,37,14,15.95,few clouds
339,Saint Anthony,US,45.0205,-93.218,71.26,80,1,1.99,clear sky
340,Srednekolymsk,RU,67.45,153.6833,67.53,39,66,7.76,broken clouds
341,Taltal,CL,-25.4,-70.4833,61.07,67,100,1.97,overcast clouds
342,Moron,AR,-34.6534,-58.6198,53.96,95,100,4.0,overcast clouds
343,Marawi,PH,7.9986,124.2928,70.03,94,100,1.52,overcast clouds
344,Kuusamo,FI,65.9667,29.1833,53.6,87,90,8.05,overcast clouds
345,Akdepe,TM,42.0551,59.3788,98.6,15,0,6.55,clear sky
346,Canby,US,45.2629,-122.6926,72.77,80,1,0.0,clear sky
