City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
253,Magdalena,PH,2021-06-23 16:05:40,14.1999,121.429,80.4,91,100,2.04
254,Skjervoy,NO,2021-06-23 16:05:41,70.0311,20.9714,55.58,74,99,2.06
255,Erzin,TR,2021-06-23 16:05:41,36.9559,36.2,81.32,72,0,7.54
256,Gull Lake,CA,2021-06-23 16:05:42,50.1001,-108.4847,69.91,44,79,19.42
257,Aklavik,CA,2021-06-23 16:05:42,68.2191,-135.0107,56.77,50,15,3.36
258,Rey Bouba,CM,2021-06-23 16:05:43,8.6724,14.1786,82.89,59,99,4.16
259,Quatre Cocos,MU,2021-06-23 16:05:44,-20.2078,57.7625,68.09,60,8,15.43
260,Cabedelo,BR,2021-06-23 16:05:46,-6.9811,-34.8339,84.87,64,5,16.22
261,Belaya Gora,RU,2021-06-23 16:05:47,68.5333,146.4167,62.58,47,15,4.21
262,Namatanai,PG,2021-06-23 16:05:47,-3.6667,152.4333,78.82,85,77,4.63
263,Bandrele,YT,2021-06-23 16:05:48,-12.9067,45.1914,74.95,73,0,2.3
264,Chapais,CA,2021-06-23 16:05:49,49.7834,-74.8492,57.18,38,38,8.23
265,Bougouni,ML,2021-06-23 16:05:49,11.417,-7.479,99.09,27,24,4.29
266,Pinega,RU,2021-06-23 16:05:50,64.7001,43.3936,74.66,64,57,12.12
267,Ushtobe,KZ,2021-06-23 16:05:51,45.2514,77.9838,65.77,36,100,2.89
268,Pangody,RU,2021-06-23 16:05:51,65.85,74.4859,38.34,96,100,1.41
269,Najran,SA,2021-06-23 16:05:52,17.4924,44.1277,89.47,9,100,11.39
270,Kirkwall,GB,2021-06-23 16:04:22,58.9848,-2.9587,57.25,82,75,6.91
271,Gimli,CA,2021-06-23 16:05:53,50.6336,-96.9907,80.22,61,81,14.65
272,Maragogi,BR,2021-06-23 16:05:54,-9.0122,-35.2225,80.65,70,44,10.67
273,Quesnel,CA,2021-06-23 16:05:55,52.9999,-122.5029,59.5,72,75,3.44
274,Dakar,SN,2021-06-23 16:02:20,14.6937,-17.4441,86.88,76,85,13.15
275,Peleduy,RU,2021-06-23 16:05:56,59.6289,112.7406,68.47,63,96,3.11
276,Tautira,PF,2021-06-23 16:05:57,-17.7333,-149.15,73.42,74,21,7.11
277,Naze,JP,2021-06-23 16:05:57,28.3667,129.4833,73.22,78,4,7.38
278,Morros,BR,2021-06-23 16:05:58,-9.4467,-46.3003,91.2,30,10,9.44
279,Clyde River,CA,2021-06-23 16:05:58,70.4692,-68.5914,35.83,100,90,8.05
280,Anloga,GH,2021-06-23 16:05:59,5.7947,0.8973,79.68,77,100,11.39
281,Muli,MV,2021-06-23 16:06:00,2.9167,73.5667,82.72,75,78,13.44
282,Togur,RU,2021-06-23 16:06:01,58.3631,82.8265,46.2,81,34,5.84
283,Xuanhua,CN,2021-06-23 16:01:48,40.6103,115.0447,68.95,75,100,3.22
284,Half Moon Bay,US,2021-06-23 16:06:02,37.4636,-122.4286,69.93,71,90,1.01
285,Tabou,CI,2021-06-23 16:06:02,4.423,-7.3528,76.53,90,96,8.43
286,Victoria,HK,2021-06-23 16:04:16,22.2855,114.1577,80.65,89,100,4.0
287,Florianopolis,BR,2021-06-23 16:06:04,-27.6146,-48.5012,68.25,75,75,4.61
